lease_id,no_rent_change,rent_change_10,rent_change_20,lease_length_2,lease_length_3,lease_length_1,age_range_under_24,age_range_24_29,age_range_30_39,age_range_40_49,age_range_50_59,age_range_60,NoFinesViolations,PositiveSurvey,LatePayments,HOA_mandatory,Renewed
HPA0284,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
HPA0285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
HPA0287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0288,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0291,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0292,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0293,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0294,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HPA0295,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0296,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HPA0297,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
HPA0298,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
HPA0299,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
HPA0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0301,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0302,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
HPA0303,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
HPA0304,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HPA0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0308,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0309,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
HPA0310,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0311,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
HPA0312,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
HPA0313,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0315,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HPA0316,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
HPA0317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0319,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
HPA0320,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
HPA0321,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
HPA0322,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
HPA0323,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HPA0324,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0325,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0326,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HPA0327,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
HPA0328,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0329,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPA0330,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
